sim_beta_c_c,sim_beta_e_c,sim_beta_c_e,sim_beta_e_e,sim_alpha_choice,sim_alpha_cf,sim_q_init,fit_beta_c_c,fit_beta_e_c,fit_beta_c_e,fit_beta_e_e,fit_alpha_choice,fit_alpha_cf,fit_q_init
-0.056389,2.1503,0.78491,-0.63921,-0.19751,2.0174,-4.1425,-0.12878,1.8198,0.63959,-0.57211,0.48867,2.8726,-1.35
0.67708,-0.32581,1.2083,-0.90649,-4.74,0.91948,-4.9364,0.83712,-1.4273,1.5411,-1.2836,-3.6021,0.5193,-2.4077
1.1385,1.9344,0.19471,2.0795,-6.4402,-0.39424,-3.2982,0.88975,1.7041,-0.35386,2.0298,-3.4137,-0.055438,-3.1911
1.042,0.77912,1.0746,-0.16207,-6.4593,-1.3934,1.5978,0.81965,1.0002,1.2297,-0.33146,-1.2612,-4.0816,-1.57
-2.1392,-0.33262,-0.3975,-1.8457,-3.9879,1.929,-3.0395,-0.98831,-1.1999,0.0066164,-0.96561,-2.16,1.8278,0.43217
2.0253,0.89897,-0.64635,1.6354,-0.41122,1.0842,0.8826,2.4502,0.99338,-0.76683,1.4687,-0.68674,1.0004,-0.42771
0.086202,1.9859,0.14642,-2.3706,-4.5689,1.3688,1.917,-0.71605,2.084,0.022455,-1.3,-3.125,1.1909,1.9194
0.75973,-1.058,1.767,1.3906,-4.6394,1.882,-0.66138,0.3996,-0.20518,1.8763,1.5027,-3.9081,2.7549,-2.6868
1.3637,0.56514,0.76464,-1.1525,-6.4233,0.56829,-4.6583,1.2667,0.93435,0.80952,-1.2004,-4.5213,0.87218,-2.0783
2.7709,-2.2264,-0.51356,-1.9471,1.453,-1.0071,0.54922,2.4288,-0.43347,-1.444,-0.85304,1.6052,-0.84829,-0.65527
1.5986,-1.5634,-1.2617,0.45126,-2.5723,0.2416,-0.9346,1.3808,-1.0405,-0.92822,0.74104,-3.278,0.15504,-1.426
-1.2245,0.9559,-0.43565,-2.6226,-0.85954,1.7739,2.1079,-0.55183,0.7748,-0.1407,-0.97977,-1.6054,2.3202,1.6781
2.7451,1.1385,0.5275,0.62129,-4.0056,0.36519,0.94636,2.7581,1.4203,0.64629,0.82372,-2.6969,0.21523,1.5538
-2.2863,1.8419,-0.54487,-2.3579,-1.8413,-0.41081,-5.1372,-1.5346,1.912,-0.58,-1.3332,-2.4703,-0.56648,-1.2384
1.1026,0.92952,1.1258,-2.5246,-1.3046,1.8514,0.0067957,1.2351,1.1743,1.203,-2.6369,-1.0598,1.6158,-0.71635
1.8765,-0.79853,2.3447,-2.0354,-0.64117,1.7337,-3.6919,1.7072,-0.22794,2.3742,-0.89634,-0.25276,1.5958,-1.1945
-0.42428,-0.17243,-1.807,0.52389,-2.4367,2.0575,-1.2239,-1.033,-0.57085,-1.151,0.64092,-1.2701,1.1615,-1.8916
0.89064,0.87947,-1.2085,-2.6939,-4.0242,-0.80956,1.3916,0.51464,0.95252,-1.5776,-1.0772,-2.7745,-0.1719,2.0642
2.4165,-1.2845,2.5237,-1.119,1.069,-0.52978,-0.13375,2.5113,-1.7645,2.7633,-0.79421,0.35517,0.004857,0.46287
2.3951,-0.45457,-2.3906,1.5582,0.81062,-1.088,3.601,2.6795,-0.15567,-0.80655,1.6171,0.97935,-1.0315,1.9433
2.3382,-1.5498,1.6072,0.43939,1.5459,-0.26125,-3.2529,2.2823,-0.65937,1.6233,0.57093,0.96449,0.22111,0.0087984
-2.4869,-0.92898,-2.2063,-2.0213,-1.6908,0.69497,-0.73623,-2.9629,-0.51376,-1.9507,-0.53909,-1.1736,1.2859,1.0472
-0.36497,1.136,-2.2791,0.46576,-3.5892,-0.48294,-3.958,-1.0316,1.0583,-1.0294,0.38543,-3.1007,0.069013,-2.0499
2.4347,-0.1099,-0.93545,-1.7714,-6.165,-0.92634,1.908,2.2689,0.77319,-1.4218,-1.0824,-4.6831,-0.28522,2.7871
-0.67996,1.6822,0.73295,2.1726,-1.5498,2.1097,2.4679,-2.6761,1.7412,1.4334,2.6133,-1.4205,2.1011,2.1556
-2.4936,1.1111,2.1304,-0.17626,-0.48718,1.1058,2.786,-1.7055,0.94103,1.979,0.66783,0.43758,1.4376,0.18955
-1.9082,-0.96826,-1.6154,-0.57472,-4.6351,-0.052566,4.1548,-0.90878,-0.93066,-0.16159,-0.33098,-2.8388,0.47577,1.7639
-2.4595,1.6169,0.20177,-1.7877,-5.0045,0.18223,-1.9252,-1.8042,2.0013,0.30229,-1.7936,-3.663,-0.21014,-1.881
-0.71468,-0.52513,-0.11892,0.39934,-3.6323,-1.6276,3.1808,-0.31451,0.40089,1.3996,0.83226,-3.1388,-2.2809,1.2836
-0.014822,-0.6991,-0.62384,0.50261,-4.2916,-1.5765,-2.4596,-0.57539,-1.9558,0.53373,0.47952,-1.1614,-2.2987,-0.71618
0.32647,-1.3119,-0.9863,0.49114,-5.9061,0.13293,-2.5556,0.0092034,-0.050837,-0.39262,0.54324,-2.3091,0.12914,-1.7012
0.82525,-2.0173,0.12273,-0.4739,-1.9143,2.0279,3.0308,0.72236,-1.1864,0.073983,-0.1429,-2.9616,2.4235,-0.2887
-1.1056,-0.40069,1.5452,2.0624,-3.2437,0.71614,-0.012542,-0.8262,-0.61155,1.4044,1.9731,-1.9249,1.1551,-0.26643
1.2022,-0.91591,0.20126,1.7189,-4.2482,-1.0044,-3.3959,1.0108,0.28419,-0.05053,1.4685,-3.456,-0.75487,-2.8989
2.152,0.4023,2.224,1.6546,-5.1908,-0.10041,-0.43245,2.1268,1.737,2.205,1.7341,-4.0424,0.11564,-0.4919
-0.22316,0.43941,0.56781,0.55001,-5.9868,1.2312,2.5375,-1.1615,0.78153,0.93302,0.63577,-2.7588,0.99195,2.4943
1.0501,0.1008,2.3924,0.14244,-2.8969,-0.18266,0.87713,1.1818,-0.97989,2.6238,-0.070694,-2.8972,0.2046,1.6696
-2.5084,1.5352,1.4825,2.054,0.27738,-0.77328,-1.3805,-1.266,1.4742,1.4272,2.1589,0.39259,-1.0561,-1.0389
-2.5383,1.5812,-0.45994,0.81988,-4.3123,-0.31977,-4.2549,-1.4124,1.305,-0.81318,0.91451,-0.35508,-2.4643,1.2718
2.5896,-1.3627,1.0929,-1.2435,-2.7528,-1.6887,1.2643,2.5345,-0.69792,0.71077,-1.3955,-0.45701,-3.2002,-0.65564
-1.311,0.063983,0.62272,-2.3558,-5.6735,0.98877,-3.4303,-2.3111,0.24702,0.26526,-1.1252,2.1327,-3.0087,2.2153
